	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa_piR_003146|gb|DQ574263|Homo_sapiens:22:19685230:19685259:Minus	0	0	0	0	0	0	0	5.31219786874621	0
hsa_piR_003503|gb|DQ574748|Homo_sapiens:15:49371344:49371374:Minus	0	0	0	0	0	0	0	2.65609893437311	0
hsa_piR_004752|gb|DQ576523|Homo_sapiens:2:96016605:96016631:Minus	0	0	0	0	0	0	0	2.65609893437311	0
hsa_piR_014935|gb|DQ590422|Homo_sapiens:2:96016600:96016628:Minus	0	0	0	0	0	0	0	2.65609893437311	0
hsa_piR_005440|gb|DQ577476|Homo_sapiens:15:49371329:49371358:Minus	0	0	0	0	0	0	0	2.65609893437311	0
hsa_piR_016273|gb|DQ592185|Homo_sapiens:5:100064913:100064941:Minus	0	0	0	0	0	0	0	0	5.18868658776404
hsa_piR_014700|gb|DQ590125|Homo_sapiens:5:81410442:81410472:Plus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_019860|gb|DQ597269|Homo_sapiens:6:29608755:29608781:Plus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_003669|gb|DQ574987|Homo_sapiens:3:100040188:100040216:Minus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_017451|gb|DQ594118|Homo_sapiens:9:129513332:129513358:Minus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_010871|gb|DQ584669|Homo_sapiens:3:127133206:127133234:Minus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_016437|gb|DQ592390|Homo_sapiens:7:71424331:71424360:Minus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_001637|gb|DQ572221|Homo_sapiens:15:73418040:73418065:Plus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_007444|gb|DQ580140|Homo_sapiens:2:132100529:132100555:Plus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_021425|gb|DQ599410|Homo_sapiens:11:100652092:100652117:Plus	0	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_008040|gb|DQ580940|Homo_sapiens:6:33972636:33972666:Plus	0	0	0	0	0	0	0	0	1.29717164694101
hsa_piR_019962|gb|DQ597420|Homo_sapiens:6:33972640:33972669:Plus	0	0	0	0	0	0	0	0	1.29717164694101
